Iteration	Time	Timesteps	MeanReturn	BestMeanReturn	Episodes	Exploration
299000	22.6425773024559	299999	121.23793369290239	227.710664046107	1096	0.02
1000	0.03998952309290568	1999	-207.26622496196407	-inf	21	0.9346993333333333
2000	0.08009330828984579	2999	-183.43103883246684	-inf	31	0.9020326666666667
3000	0.11621180772781373	3999	-177.4724483947492	-inf	41	0.869366
4000	0.15667778650919598	4999	-169.58635276719895	-inf	51	0.8366993333333334
5000	0.19806741078694662	5999	-162.71020946616326	-inf	60	0.8040326666666666
6000	0.23912749687830606	6999	-159.04316837713242	-inf	69	0.771366
7000	0.28304575284322103	7999	-150.06057444532678	-inf	79	0.7386993333333334
8000	0.3235495209693909	8999	-142.45854743439173	-inf	87	0.7060326666666668
9000	0.36466157833735147	9999	-141.77221971684702	-inf	96	0.673366
10000	0.4058086633682251	10999	-137.57885999095524	-137.57885999095524	102	0.6406993333333333
11000	0.44814879496892296	11999	-132.47442145347156	-132.47442145347156	107	0.6080326666666667
12000	0.5022617896397908	12999	-126.27559069193758	-126.27559069193758	110	0.575366
13000	0.5478201826413472	13999	-119.12154766421149	-119.12154766421149	115	0.5426993333333333
14000	0.5887139598528545	14999	-109.77087231573893	-109.77087231573893	122	0.5100326666666667
15000	0.6343936045964559	15999	-107.59177913177345	-107.59177913177345	127	0.47736600000000007
16000	0.6943250298500061	16999	-104.80089233491748	-104.80089233491748	128	0.44469933333333334
17000	0.7496532678604126	17999	-101.77756294897837	-101.77756294897837	131	0.4120326666666667
18000	0.8065338889757793	18999	-100.90689865114335	-100.90689865114335	132	0.3793660000000001
19000	0.8642484664916992	19999	-96.1143055855712	-96.1143055855712	134	0.34669933333333336
20000	0.9234290242195129	20999	-95.95733765650239	-95.95733765650239	135	0.31403266666666674
21000	1.4547843019167581	21999	-96.9150206405051	-95.95733765650239	136	0.281366
22000	1.526518698533376	22999	-97.42278026859263	-95.95733765650239	137	0.24869933333333327
23000	1.5960995117823282	23999	-96.89095613772275	-95.95733765650239	138	0.21603266666666665
24000	1.6634397784868875	24999	-95.97321887958047	-95.95733765650239	139	0.18336600000000003
25000	1.7241152803103128	25999	-94.61008742388219	-94.61008742388219	141	0.1506993333333333
26000	1.7993687828381857	26999	-94.32104512934384	-94.32104512934384	142	0.11803266666666667
27000	1.8833504398663838	27999	-94.04802510973964	-94.04802510973964	143	0.08536600000000005
28000	1.9454566995302836	28999	-93.19837288474064	-93.19837288474064	144	0.05269933333333332
29000	2.0049529314041137	29999	-92.89592945211184	-92.89592945211184	145	0.0200326666666667
30000	2.0687504331270854	30999	-92.11149463007062	-92.11149463007062	146	0.02
31000	2.143044130007426	31999	-89.95969154647932	-89.95969154647932	147	0.02
32000	2.2048213203748066	32999	-89.38718573391635	-89.38718573391635	148	0.02
33000	2.2765676259994505	33999	-88.47495211750724	-88.47495211750724	149	0.02
34000	2.3553631981213887	34999	-88.83153469991106	-88.47495211750724	150	0.02
35000	2.4234169880549112	35999	-88.14758958223689	-88.14758958223689	151	0.02
36000	2.4972527543703715	36999	-88.104751707281	-88.104751707281	152	0.02
37000	2.5603197971979776	37999	-86.02510098940147	-86.02510098940147	153	0.02
38000	2.6368600567181906	38999	-85.47137843336708	-85.47137843336708	154	0.02
39000	2.708041954040527	39999	-85.05789328317702	-85.05789328317702	155	0.02
40000	2.768885878721873	40999	-84.66103086279969	-84.66103086279969	156	0.02
41000	3.2727399547894795	41999	-83.56589147363478	-83.56589147363478	157	0.02
42000	3.3568589289983115	42999	-82.60141891245604	-82.60141891245604	158	0.02
43000	3.424379607041677	43999	-81.6906187283396	-81.6906187283396	159	0.02
44000	3.496271284421285	44999	-80.12841619782733	-80.12841619782733	160	0.02
45000	3.575070063273112	45999	-77.19993892811644	-77.19993892811644	161	0.02
46000	3.6577709595362347	46999	-76.70155728823036	-76.70155728823036	162	0.02
47000	3.729029866059621	47999	-73.85784696486544	-73.85784696486544	163	0.02
48000	3.8189276496569318	48999	-71.88076798107839	-71.88076798107839	164	0.02
49000	3.9042712370554606	49999	-70.439897230643	-70.439897230643	165	0.02
